OldTestament,NewTestament
Genesis,Matthew
Exodus,Mark
Levitious,Luke
Numbers,John
Deuteronomy,Acts
Joshua,Romans
Judges,I Corinthians
Ruth,II Corinthians
I Samuel,Galatians
II Samuel,Ephesians
I kings,Pilippians
II Kings,Colossians
I Chronicles,I Thessalonians
II Chronicles,II Thessalonianss
Ezra,I Timothy
Nehemiah,II Timothy
Esther,Titus
Job,Philemon
Psalms,Hebrews
Proverbs,James
Ecclesiates,I Peter
Song of Solomon,II Peter
Isaiah,I John
Jeremiah,II John
Lamentations,III John
Ezekiel,Jude
Daniel,Revelation
Hosea,
Joel,
Amos,
Obadiah,
Jonah,
Micah,
Nahum,
Habakkuk,
Zephaniah,
Haggai,
Zechariah,
Malachi,
